== PHASE 6A — FACTOR SWEEP (borrowed alpha library, our statistics) ==
statistic mean 20d rank IC with Newey-West t (lag = horizon) — Phase 4's Gate-1 statistic, unchanged
reported  5d / 20d / 60d — 5d and 60d may not override the 20d decision
FDR       Benjamini-Hochberg q=0.05, normal-approximation p from the NW t (disclosed)
promotion top 20 US alphas by mean IC, pre-registered, no post-hoc addition

--- US ---
panel      us-2021-09-20_2026-09-17-1254s-555n-689572b-fwd-b1e4fbeabb44
window     2022-09-19 … 2026-09-17 (1003 sessions)
breadth    U1 547.7/day · U2 180.2/day  (U1 is primary; U2 reported)
statistic  mean 20d rank IC · NW t (lag 20) · 982 days on the first row · alphas 436 evaluated, 0 skipped
floors     power floor 0.0297 (t=2 at the lane's realized NW SE 0.01486) · FDR q=0.05 over K=436
luck       E[max|IC|] ≈ 0.0518 at the lane SE 0.01486 · 0.0358 at the sweep's own mean SE 0.01028 — K assumed independent, so this is CONSERVATIVE
labels     alive 0 · reversed 0 · dead 436   (FDR discoveries 0)

  alpha                      univ   meanIC     NWt    ICIR  days  brdth         p       FDR label    
  qlib158_cord60             U1     0.0205    1.30    0.14   955  100.0    1.9e-1    0.5445 dead     
  qlib158_vsump60            U2     0.0204    1.40    0.08   904   27.2    1.6e-1    0.2968 dead     
  qlib158_vsumd60            U2     0.0204    1.40    0.08   904   27.2    1.6e-1    0.2968 dead     
  qlib158_min10              U1     0.0202    1.12    0.10   955  100.2    2.6e-1    0.6429 dead     
  qlib158_imxd5              U2     0.0199    1.28    0.07   904   27.2    2.0e-1    0.3411 dead     
  qlib158_min30              U1     0.0193    0.91    0.10   955  100.1    3.6e-1    0.6905 dead     
  qlib158_cntp60             U1     0.0189    0.94    0.10   955  100.3    3.5e-1    0.6905 dead     
  qlib158_beta20             U1     0.0189    0.94    0.09   955  100.3    3.5e-1    0.6905 dead     
  qlib158_roc20              U1     0.0189    0.94    0.09   955  100.3    3.5e-1    0.6905 dead     
  qlib158_vsumd60            U1     0.0186    1.90    0.14   955  100.0    5.8e-2    0.3194 dead     
  qlib158_vsump60            U1     0.0186    1.90    0.14   955  100.0    5.8e-2    0.3194 dead     
  qlib158_qtld60             U1     0.0185    0.85    0.09   955  100.0    3.9e-1    0.6905 dead     
  academic_mkt_rf            U1     0.0184    0.90    0.09   955  100.3    3.7e-1    0.6905 dead     
  qlib158_cntd20             U1     0.0172    0.96    0.10   955  100.3    3.4e-1    0.6905 dead     
  qlib158_imxd30             U1     0.0171    1.03    0.10   955  100.1    3.0e-1    0.6905 dead     
  qlib158_resi20             U1     0.0169    0.94    0.08   955  100.2    3.5e-1    0.6905 dead     
  qlib158_resi30             U1     0.0163    0.82    0.08   955  100.1    4.1e-1    0.6905 dead     
  qlib158_rsqr60             U1     0.0162    1.22    0.12   955  100.0    2.2e-1    0.5858 dead     
  qlib158_imax5              U2     0.0159    1.29    0.06   901   27.3    2.0e-1    0.3361 dead     
  qlib158_min20              U1     0.0154    0.80    0.08   955  100.2    4.2e-1    0.6905 dead     
  academic_cma               U1     0.0153    0.80    0.09   955   99.6    4.2e-1    0.6905 dead     
  qlib158_rank20             U1     0.0151    1.00    0.08   955  100.2    3.2e-1    0.6905 dead     
  qlib158_rsv10              U1     0.0147    1.07    0.08   955  100.2    2.8e-1    0.6830 dead     
  qlib158_rank30             U1     0.0145    0.90    0.08   955  100.1    3.7e-1    0.6905 dead     
  qlib158_rsqr10             U1     0.0143    1.79    0.10   955  100.2    7.3e-2    0.3682 dead     
  qlib158_rank60             U1     0.0142    0.81    0.08   955  100.0    4.2e-1    0.6905 dead     
  qlib158_sump30             U1     0.0139    0.74    0.07   955  100.1    4.6e-1    0.7034 dead     
  qlib158_sumd30             U1     0.0139    0.74    0.07   955  100.1    4.6e-1    0.7034 dead     
  qlib158_wvma10             U2     0.0138    0.71    0.05   904   27.2    4.8e-1    0.6057 dead     
  qlib158_rsqr5              U2     0.0136    1.31    0.05   904   27.2    1.9e-1    0.3345 dead     
  qlib158_corr20             U2     0.0133    0.57    0.05   904   27.2    5.7e-1    0.6798 dead     
  qlib158_rsv5               U2     0.0127    0.92    0.05   904   27.2    3.6e-1    0.5218 dead     
  qlib158_sump60             U2     0.0122    0.53    0.05   904   27.2    6.0e-1    0.6911 dead     
  qlib158_sumd60             U2     0.0122    0.53    0.05   904   27.2    6.0e-1    0.6911 dead     
  qlib158_rank10             U2     0.0120    0.78    0.04   904   27.2    4.4e-1    0.5680 dead     
  qlib158_sump10             U1     0.0120    0.78    0.06   955  100.2    4.4e-1    0.6905 dead     
  qlib158_sumd10             U1     0.0120    0.78    0.06   955  100.2    4.4e-1    0.6905 dead     
  qlib158_sump5              U2     0.0118    0.81    0.04   904   27.2    4.2e-1    0.5632 dead     
  qlib158_sumd5              U2     0.0118    0.81    0.04   904   27.2    4.2e-1    0.5632 dead     
  qlib158_cntd30             U1     0.0115    0.58    0.06   955  100.3    5.6e-1    0.7734 dead     
  qlib158_imxd60             U2     0.0113    0.53    0.04   904   27.2    5.9e-1    0.6911 dead     
  qlib158_cntd10             U1     0.0107    0.69    0.06   955  100.3    4.9e-1    0.7269 dead     
  qlib158_qtld5              U2     0.0103    0.77    0.04   904   27.2    4.4e-1    0.5685 dead     
  qlib158_vsump10            U1     0.0102    1.58    0.08   955  100.2    1.2e-1    0.4289 dead     
  qlib158_vsumd10            U1     0.0102    1.58    0.08   955  100.2    1.2e-1    0.4289 dead     
  qlib158_imxd60             U1     0.0101    0.54    0.06   955  100.0    5.9e-1    0.7734 dead     
  qlib158_corr10             U2     0.0101    0.59    0.04   904   27.2    5.6e-1    0.6715 dead     
  qlib158_rsv5               U1     0.0096    0.90    0.05   955  100.3    3.7e-1    0.6905 dead     
  qlib158_rank5              U2     0.0095    0.80    0.04   901   27.3    4.3e-1    0.5645 dead     
  qlib158_cntp20             U1     0.0095    0.57    0.06   955  100.3    5.7e-1    0.7734 dead     
  qlib158_cntd5              U1     0.0091    0.74    0.06   955  100.3    4.6e-1    0.7034 dead     
  qlib158_beta10             U1     0.0090    0.55    0.04   955  100.3    5.8e-1    0.7734 dead     
  qlib158_roc10              U1     0.0090    0.55    0.04   955  100.3    5.8e-1    0.7734 dead     
  qlib158_kup2               U1     0.0089    1.65    0.06   949  100.2    9.9e-2    0.4219 dead     
  qlib158_imxd10             U1     0.0088    0.69    0.05   955  100.2    4.9e-1    0.7269 dead     
  qlib158_vsumn5             U2     0.0085    0.82    0.03   904   27.2    4.1e-1    0.5632 dead     
  qlib158_resi10             U1     0.0083    0.57    0.04   955  100.2    5.7e-1    0.7734 dead     
  qlib158_wvma10             U1     0.0080    0.80    0.07   955  100.2    4.2e-1    0.6905 dead     
  qlib158_rank10             U1     0.0075    0.62    0.04   955  100.2    5.4e-1    0.7734 dead     
  qlib158_imin60             U1     0.0074    0.48    0.05   955  100.0    6.3e-1    0.8144 dead     
  qlib158_kup2               U2     0.0074    0.70    0.03   898   27.2    4.8e-1    0.6093 dead     
  qlib158_cord5              U2     0.0073    0.50    0.03   904   27.2    6.2e-1    0.6977 dead     
  qlib158_imin30             U1     0.0071    0.50    0.05   955  100.1    6.2e-1    0.8098 dead     
  qlib158_qtld5              U1     0.0064    0.63    0.03   955  100.3    5.3e-1    0.7675 dead     
  qlib158_cntp5              U1     0.0063    0.54    0.04   955  100.3    5.9e-1    0.7734 dead     
  qlib158_cntp10             U1     0.0063    0.43    0.04   955  100.3    6.6e-1    0.8227 dead     
  qlib158_sumd60             U1     0.0062    0.31    0.03   955  100.0    7.6e-1    0.8712 dead     
  qlib158_sump60             U1     0.0062    0.31    0.03   955  100.0    7.6e-1    0.8712 dead     
  qlib158_ma5                U2     0.0062    0.50    0.02   904   27.2    6.2e-1    0.6977 dead     
  qlib158_corr5              U2     0.0062    0.49    0.02   904   27.2    6.2e-1    0.6977 dead     
  qlib158_vstd5              U1     0.0059    0.80    0.05   955  100.3    4.2e-1    0.6905 dead     
  qlib158_imxd5              U1     0.0058    0.58    0.03   955  100.3    5.6e-1    0.7734 dead     
  qlib158_sump5              U1     0.0055    0.45    0.03   955  100.3    6.5e-1    0.8144 dead     
  qlib158_sumd5              U1     0.0055    0.45    0.03   955  100.3    6.5e-1    0.8144 dead     
  qlib158_resi10             U2     0.0052    0.31    0.02   904   27.2    7.6e-1    0.8199 dead     
  qlib158_beta5              U1     0.0051    0.40    0.02   955  100.3    6.9e-1    0.8334 dead     
  qlib158_roc5               U1     0.0051    0.40    0.02   955  100.3    6.9e-1    0.8334 dead     
  qlib158_qtld10             U2     0.0050    0.28    0.02   904   27.2    7.8e-1    0.8236 dead     
  qlib158_kmid               U1     0.0048    0.72    0.02   950  100.3    4.7e-1    0.7071 dead     
  qlib158_kmid2              U1     0.0045    0.68    0.03   949  100.2    5.0e-1    0.7292 dead     
  qlib158_imin30             U2     0.0044    0.22    0.02   904   27.2    8.3e-1    0.8714 dead     
  qlib158_vstd10             U1     0.0039    0.41    0.03   955  100.2    6.8e-1    0.8334 dead     
  qlib158_rank5              U1     0.0036    0.38    0.02   955  100.3    7.0e-1    0.8372 dead     
  qlib158_resi5              U1     0.0032    0.30    0.02   955  100.3    7.6e-1    0.8712 dead     
  qlib158_cord10             U1     0.0030    0.27    0.02   955  100.2    7.9e-1    0.8886 dead     
  qlib158_resi60             U2     0.0029    0.10    0.01   904   27.2    9.2e-1    0.9456 dead     
  qlib158_corr60             U2     0.0026    0.10    0.01   904   27.2    9.2e-1    0.9459 dead     
  qlib158_wvma5              U1     0.0026    0.39    0.02   955  100.3    6.9e-1    0.8334 dead     
  qlib158_cntp30             U1     0.0025    0.14    0.01   955  100.3    8.9e-1    0.9494 dead     
  qlib158_rsqr5              U1     0.0023    0.45    0.02   955  100.3    6.5e-1    0.8144 dead     
  academic_hml               U1     0.0019    0.07    0.01   954  100.3    9.4e-1    0.9679 dead     
  qlib158_vsumn5             U1     0.0007    0.15    0.01   955  100.3    8.8e-1    0.9415 dead     
  qlib158_vsumd10            U2     0.0006    0.05    0.00   904   27.2    9.6e-1    0.9690 dead     
  qlib158_vsump10            U2     0.0006    0.05    0.00   904   27.2    9.6e-1    0.9690 dead     
  qlib158_resi60             U1     0.0006    0.02    0.00   955  100.0    9.8e-1    0.9866 dead     
  qlib158_ksft               U1     0.0002    0.04    0.00   950  100.3    9.7e-1    0.9862 dead     
  qlib158_min30              U2     0.0002    0.01    0.00   904   27.2    1.0e+0    0.9951 dead     
  qlib158_vma5               U1     0.0000    0.00    0.00   955  100.3    1.0e+0    0.9997 dead     
  qlib158_ma60               U1    -0.0006   -0.02   -0.00   955  100.0    9.8e-1    0.9866 dead     
  qlib158_vsumn10            U2    -0.0006   -0.05   -0.00   904   27.2    9.6e-1    0.9690 dead     
  qlib158_ksft2              U1    -0.0007   -0.11   -0.00   949  100.2    9.1e-1    0.9505 dead     
  qlib158_vsumd5             U1    -0.0007   -0.15   -0.01   955  100.3    8.8e-1    0.9415 dead     
  qlib158_vsump5             U1    -0.0007   -0.15   -0.01   955  100.3    8.8e-1    0.9415 dead     
  qlib158_qtld10             U1    -0.0009   -0.07   -0.00   955  100.2    9.4e-1    0.9679 dead     
  qlib158_imax10             U1    -0.0013   -0.11   -0.01   955  100.2    9.2e-1    0.9505 dead     
  qlib158_corr5              U1    -0.0013   -0.17   -0.01   955  100.3    8.6e-1    0.9415 dead     
  qlib158_klow2              U1    -0.0015   -0.32   -0.01   949  100.2    7.5e-1    0.8712 dead     
  qlib158_imax5              U1    -0.0017   -0.19   -0.01   955  100.3    8.5e-1    0.9415 dead     
  qlib158_cord5              U1    -0.0022   -0.25   -0.01   955  100.3    8.0e-1    0.8998 dead     
  qlib158_beta30             U1    -0.0027   -0.12   -0.01   955  100.3    9.0e-1    0.9496 dead     
  qlib158_roc30              U1    -0.0027   -0.12   -0.01   955  100.3    9.0e-1    0.9496 dead     
  qlib158_corr10             U1    -0.0028   -0.28   -0.02   955  100.2    7.8e-1    0.8860 dead     
  qlib158_ma60               U2    -0.0029   -0.10   -0.01   904   27.2    9.2e-1    0.9456 dead     
  qlib158_ma5                U1    -0.0032   -0.30   -0.02   955  100.3    7.6e-1    0.8712 dead     
  qlib158_vma10              U2    -0.0036   -0.30   -0.01   904   27.2    7.6e-1    0.8199 dead     
  qlib158_beta5              U2    -0.0040   -0.29   -0.01   904   27.2    7.7e-1    0.8207 dead     
  academic_carhart_mom       U1    -0.0040   -0.15   -0.02   954  100.3    8.8e-1    0.9415 dead     
  qlib158_roc5               U2    -0.0040   -0.29   -0.01   904   27.2    7.7e-1    0.8207 dead     
  qlib158_qtld30             U1    -0.0041   -0.22   -0.02   955  100.1    8.2e-1    0.9178 dead     
  qlib158_ma10               U2    -0.0052   -0.31   -0.02   904   27.2    7.6e-1    0.8199 dead     
  qlib158_vma5               U2    -0.0052   -0.61   -0.02   904   27.2    5.4e-1    0.6563 dead     
  qlib158_min20              U2    -0.0052   -0.19   -0.02   904   27.2    8.5e-1    0.8873 dead     
  qlib158_rsqr10             U2    -0.0054   -0.34   -0.02   904   27.2    7.3e-1    0.8110 dead     
  qlib158_vma10              U1    -0.0055   -0.88   -0.04   955  100.2    3.8e-1    0.6905 dead     
  qlib158_sumn5              U1    -0.0055   -0.45   -0.03   955  100.3    6.5e-1    0.8144 dead     
  qlib158_resi5              U2    -0.0062   -0.49   -0.02   904   27.2    6.2e-1    0.6977 dead     
  qlib158_sumn60             U1    -0.0062   -0.31   -0.03   955  100.0    7.6e-1    0.8712 dead     
  qlib158_klow2              U2    -0.0063   -0.78   -0.02   898   27.2    4.4e-1    0.5680 dead     
  qlib158_qtlu5              U2    -0.0071   -0.50   -0.02   904   27.2    6.2e-1    0.6977 dead     
  qlib158_qtld20             U1    -0.0077   -0.46   -0.04   955  100.2    6.4e-1    0.8144 dead     
  qlib158_ma10               U1    -0.0083   -0.57   -0.04   955  100.2    5.7e-1    0.7734 dead     
  qlib158_vsumd5             U2    -0.0085   -0.82   -0.03   904   27.2    4.1e-1    0.5632 dead     
  qlib158_vsump5             U2    -0.0085   -0.82   -0.03   904   27.2    4.1e-1    0.5632 dead     
  qlib158_imin5              U1    -0.0089   -1.00   -0.06   955  100.3    3.2e-1    0.6905 dead     
  academic_smb               U1    -0.0091   -0.61   -0.07   955  100.0    5.4e-1    0.7734 dead     
  qlib158_vma20              U2    -0.0092   -0.65   -0.03   904   27.2    5.1e-1    0.6319 dead     
  qlib158_imin5              U2    -0.0093   -0.62   -0.03   895   27.4    5.3e-1    0.6527 dead     
  qlib158_kmid2              U2    -0.0094   -1.08   -0.03   898   27.2    2.8e-1    0.4331 dead     
  qlib158_rsqr60             U2    -0.0094   -0.33   -0.03   904   27.2    7.4e-1    0.8148 dead     
  qlib158_kmid               U2    -0.0098   -1.17   -0.03   898   27.2    2.4e-1    0.3887 dead     
  qlib158_vstd20             U1    -0.0099   -0.90   -0.07   955  100.2    3.7e-1    0.6905 dead     
  qlib158_vsumn10            U1    -0.0102   -1.58   -0.08   955  100.2    1.2e-1    0.4289 dead     
  qlib158_wvma5              U2    -0.0105   -0.79   -0.04   904   27.2    4.3e-1    0.5680 dead     
  qlib158_cntn5              U1    -0.0108   -0.84   -0.07   955  100.3    4.0e-1    0.6905 dead     
  qlib158_corr60             U1    -0.0113   -0.59   -0.07   955  100.0    5.6e-1    0.7734 dead     
  qlib158_corr20             U1    -0.0115   -0.80   -0.07   955  100.2    4.2e-1    0.6905 dead     
  qlib158_ksft               U2    -0.0116   -1.31   -0.04   898   27.2    1.9e-1    0.3345 dead     
  qlib158_sumn5              U2    -0.0118   -0.81   -0.04   904   27.2    4.2e-1    0.5632 dead     
  qlib158_sumn10             U1    -0.0120   -0.78   -0.06   955  100.2    4.4e-1    0.6905 dead     
  qlib158_vstd20             U2    -0.0121   -0.68   -0.05   904   27.2    4.9e-1    0.6125 dead     
  qlib158_sumn60             U2    -0.0122   -0.53   -0.05   904   27.2    6.0e-1    0.6911 dead     
  qlib158_std30              U2    -0.0123   -0.37   -0.04   904   27.2    7.1e-1    0.7926 dead     
  qlib158_cntn10             U1    -0.0134   -0.83   -0.08   955  100.3    4.1e-1    0.6905 dead     
  qlib158_ksft2              U2    -0.0139   -1.38   -0.05   898   27.2    1.7e-1    0.3074 dead     
  qlib158_sumn30             U1    -0.0139   -0.74   -0.07   955  100.1    4.6e-1    0.7034 dead     
  qlib158_qtlu5              U1    -0.0139   -1.05   -0.07   955  100.3    3.0e-1    0.6905 dead     
  qlib158_vstd30             U2    -0.0147   -0.81   -0.06   904   27.2    4.2e-1    0.5632 dead     
  qlib158_qtlu10             U1    -0.0155   -0.94   -0.07   955  100.2    3.5e-1    0.6905 dead     
  qlib158_imin10             U1    -0.0157   -1.46   -0.10   955  100.2    1.4e-1    0.5064 dead     
  qlib158_kup                U1    -0.0157   -1.40   -0.10   950  100.3    1.6e-1    0.5178 dead     
  qlib158_ma30               U1    -0.0163   -0.82   -0.08   955  100.1    4.1e-1    0.6905 dead     
  qlib158_ma20               U1    -0.0169   -0.94   -0.08   955  100.2    3.5e-1    0.6905 dead     
  qlib158_vma20              U1    -0.0171   -2.05   -0.13   955  100.2    4.0e-2    0.3045 dead     
  qlib158_qtlu10             U2    -0.0173   -1.02   -0.06   904   27.2    3.1e-1    0.4652 dead     
  qlib158_cntn30             U1    -0.0177   -0.85   -0.09   955  100.3    3.9e-1    0.6905 dead     
  qlib158_imin20             U1    -0.0177   -1.36   -0.11   955  100.2    1.8e-1    0.5328 dead     
  academic_strev             U1    -0.0184   -0.90   -0.09   955  100.3    3.7e-1    0.6905 dead     
  qlib158_vsumn60            U1    -0.0186   -1.90   -0.14   955  100.0    5.8e-2    0.3194 dead     
  qlib158_vstd30             U1    -0.0187   -1.57   -0.14   955  100.1    1.2e-1    0.4289 dead     
  qlib158_beta60             U1    -0.0203   -0.83   -0.09   955  100.3    4.1e-1    0.6905 dead     
  qlib158_roc60              U1    -0.0203   -0.83   -0.09   955  100.3    4.1e-1    0.6905 dead     
  qlib158_qtlu20             U1    -0.0204   -1.05   -0.10   955  100.2    2.9e-1    0.6905 dead     
  qlib158_vsumn60            U2    -0.0204   -1.40   -0.08   904   27.2    1.6e-1    0.2968 dead     
  qlib158_corr30             U1    -0.0222   -1.40   -0.15   955  100.1    1.6e-1    0.5178 dead     
  qlib158_vstd5              U2    -0.0223   -1.75   -0.09   904   27.2    8.1e-2    0.1932 dead     
  qlib158_cntn20             U1    -0.0227   -1.21   -0.13   955  100.3    2.3e-1    0.5858 dead     
  qlib158_kup                U2    -0.0233   -1.44   -0.08   898   27.2    1.5e-1    0.2882 dead     
  qlib158_sumn20             U1    -0.0235   -1.33   -0.13   955  100.2    1.8e-1    0.5328 dead     
  qlib158_vma30              U2    -0.0240   -1.66   -0.09   904   27.2    9.6e-2    0.2163 dead     
  qlib158_vsumn30            U1    -0.0241   -2.35   -0.18   955  100.1    1.9e-2    0.2273 dead     
  qlib158_qtlu30             U1    -0.0242   -1.17   -0.11   955  100.1    2.4e-1    0.6103 dead     
  qlib158_imin20             U2    -0.0246   -1.36   -0.09   902   27.2    1.7e-1    0.3146 dead     
  qlib158_vstd10             U2    -0.0247   -1.47   -0.09   904   27.2    1.4e-1    0.2753 dead     
  qlib158_qtlu60             U1    -0.0262   -1.18   -0.12   955  100.0    2.4e-1    0.6036 dead     
  qlib158_qtlu20             U2    -0.0278   -1.31   -0.10   904   27.2    1.9e-1    0.3345 dead     
  qlib158_vma30              U1    -0.0283   -2.96   -0.20   955  100.1    3.1e-3    0.0908 dead     
  qlib158_imin10             U2    -0.0291   -1.72   -0.10   901   27.3    8.6e-2    0.1988 dead     
  qlib158_qtld20             U2    -0.0293   -1.18   -0.10   904   27.2    2.4e-1    0.3879 dead     
  qlib158_vstd60             U1    -0.0296   -2.57   -0.22   955  100.0    1.0e-2    0.2110 dead     
  qlib158_vsumn20            U1    -0.0301   -3.34   -0.22   955  100.2    8.3e-4    0.0462 dead     
  qlib158_klow               U1    -0.0307   -2.23   -0.18   950  100.3    2.6e-2    0.2465 dead     
  qlib158_std20              U2    -0.0308   -0.94   -0.10   904   27.2    3.5e-1    0.5137 dead     
  qlib158_std5               U2    -0.0311   -1.10   -0.10   904   27.2    2.7e-1    0.4215 dead     
  qlib158_vma60              U1    -0.0323   -3.04   -0.23   955  100.0    2.3e-3    0.0908 dead     
  qlib158_vsumn30            U2    -0.0324   -2.14   -0.12   904   27.2    3.2e-2    0.1066 dead     
  qlib158_cntn60             U1    -0.0327   -1.40   -0.16   955  100.3    1.6e-1    0.5178 dead     
  qlib158_std20              U1    -0.0337   -1.21   -0.14   955  100.2    2.3e-1    0.5858 dead     
  qlib158_cntn5              U2    -0.0338   -2.03   -0.12   904   27.2    4.3e-2    0.1316 dead     
  qlib158_ma20               U2    -0.0341   -1.47   -0.12   904   27.2    1.4e-1    0.2753 dead     
  academic_hml               U2    -0.0342   -1.14   -0.12   903   27.2    2.5e-1    0.4009 dead     
  qlib158_vsumn20            U2    -0.0343   -2.19   -0.13   904   27.2    2.9e-2    0.1064 dead     
  qlib158_sumn10             U2    -0.0356   -1.89   -0.13   904   27.2    5.9e-2    0.1551 dead     
  academic_corr_rewire       U1    -0.0366   -2.32   -0.24   955  100.3    2.1e-2    0.2273 dead     
  qlib158_max5               U1    -0.0368   -1.74   -0.17   955  100.3    8.1e-2    0.3824 dead     
  qlib158_std30              U1    -0.0369   -1.27   -0.15   955  100.1    2.0e-1    0.5633 dead     
  qlib158_max5               U2    -0.0371   -1.53   -0.12   904   27.2    1.3e-1    0.2620 dead     
  qlib158_klow               U2    -0.0372   -2.16   -0.13   898   27.2    3.1e-2    0.1066 dead     
  qlib158_std10              U1    -0.0375   -1.38   -0.16   955  100.2    1.7e-1    0.5210 dead     
  qlib158_vstd60             U2    -0.0384   -2.11   -0.15   904   27.2    3.5e-2    0.1100 dead     
  qlib158_max10              U1    -0.0387   -1.66   -0.17   955  100.2    9.7e-2    0.4219 dead     
  academic_illiq             U1    -0.0387   -2.19   -0.26   867   96.9    2.8e-2    0.2465 dead     
  qlib158_qtld30             U2    -0.0388   -1.51   -0.14   904   27.2    1.3e-1    0.2706 dead     
  qlib158_std10              U2    -0.0394   -1.22   -0.12   904   27.2    2.2e-1    0.3664 dead     
  qlib158_vma60              U2    -0.0398   -2.89   -0.15   904   27.2    3.8e-3    0.0264 dead     
  qlib158_std5               U1    -0.0399   -1.59   -0.17   955  100.3    1.1e-1    0.4289 dead     
  qlib158_max20              U1    -0.0478   -1.95   -0.21   955  100.2    5.2e-2    0.3172 dead     
  academic_corr_rewire       U2    -0.0483   -1.74   -0.17   904   27.2    8.2e-2    0.1932 dead     
  qlib158_qtlu30             U2    -0.0498   -2.38   -0.18   904   27.2    1.7e-2    0.0778 dead     
  qlib158_max10              U2    -0.0499   -1.86   -0.15   904   27.2    6.3e-2    0.1599 dead     
  qlib158_ma30               U2    -0.0500   -1.99   -0.18   904   27.2    4.7e-2    0.1388 dead     
  qlib158_qtlu60             U2    -0.0507   -2.43   -0.19   904   27.2    1.5e-2    0.0704 dead     
  qlib158_max30              U1    -0.0509   -2.02   -0.22   955  100.1    4.4e-2    0.3140 dead     
  academic_strev             U2    -0.0519   -2.20   -0.19   904   27.2    2.8e-2    0.1064 dead     
  qlib158_klen               U1    -0.0534   -2.20   -0.24   950  100.3    2.8e-2    0.2465 dead     
  qlib158_beta60             U2    -0.0545   -1.88   -0.19   904   27.2    6.0e-2    0.1551 dead     
  qlib158_roc60              U2    -0.0545   -1.88   -0.19   904   27.2    6.0e-2    0.1551 dead     
  qlib158_std60              U1    -0.0552   -1.88   -0.23   955  100.0    6.1e-2    0.3218 dead     
  qlib158_klen               U2    -0.0581   -1.97   -0.18   898   27.2    4.9e-2    0.1417 dead     
  qlib158_max60              U1    -0.0602   -2.38   -0.26   955  100.0    1.7e-2    0.2273 dead     
  qlib158_sumn30             U2    -0.0636   -2.86   -0.24   904   27.2    4.3e-3    0.0264 reversed 
  qlib158_std60              U2    -0.0653   -1.91   -0.20   904   27.2    5.7e-2    0.1551 dead     
  qlib158_sumn20             U2    -0.0655   -2.96   -0.24   904   27.2    3.1e-3    0.0253 reversed 
  academic_smb               U2    -0.0670   -2.83   -0.28   904   27.2    4.6e-3    0.0273 reversed 
  qlib158_cntn10             U2    -0.0677   -3.48   -0.25   904   27.2    5.0e-4    0.0069 reversed 
  qlib158_max20              U2    -0.0721   -2.52   -0.23   904   27.2    1.2e-2    0.0590 dead     
  qlib158_max30              U2    -0.0838   -2.91   -0.27   904   27.2    3.7e-3    0.0264 reversed 
  qlib158_cntn60             U2    -0.0842   -3.63   -0.36   904   27.2    2.9e-4    0.0053 reversed 
  academic_illiq             U2    -0.0941   -3.19   -0.34   815   26.1    1.4e-3    0.0157 reversed 
  qlib158_cntn20             U2    -0.1022   -5.01   -0.40   904   27.2    5.6e-7    0.0001 reversed 
  qlib158_cntn30             U2    -0.1030   -4.73   -0.42   904   27.2    2.3e-6    0.0002 reversed 
  qlib158_max60              U2    -0.1069   -3.79   -0.35   904   27.2    1.5e-4    0.0034 reversed 

  survivors, by year (20d IC):
    academic_high52w  2023 0.2448 (211d) · 2024 0.0901 (243d) · 2025 -0.0160 (246d) · 2026 0.1303 (156d)
    academic_illiq  2022 -0.2268 (22d) · 2023 -0.1553 (237d) · 2024 -0.1512 (238d) · 2025 0.0228 (203d) · 2026 -0.0307 (115d)
    academic_smb  2022 -0.1081 (22d) · 2023 -0.0995 (237d) · 2024 -0.1424 (243d) · 2025 0.0008 (246d) · 2026 -0.0015 (156d)
    qlib158_cntd10  2022 -0.0632 (22d) · 2023 0.0752 (237d) · 2024 0.0662 (243d) · 2025 0.0682 (246d) · 2026 0.0194 (156d)
    qlib158_cntd20  2022 0.0735 (22d) · 2023 0.1115 (237d) · 2024 0.1019 (243d) · 2025 0.0699 (246d) · 2026 0.0453 (156d)
    qlib158_cntd30  2022 0.1718 (22d) · 2023 0.1254 (237d) · 2024 0.0865 (243d) · 2025 0.0556 (246d) · 2026 0.0614 (156d)
    qlib158_cntd60  2022 -0.0276 (22d) · 2023 0.1125 (237d) · 2024 0.0138 (243d) · 2025 0.0682 (246d) · 2026 0.0675 (156d)
    qlib158_cntn10  2022 -0.0481 (22d) · 2023 -0.0963 (237d) · 2024 -0.0705 (243d) · 2025 -0.0674 (246d) · 2026 -0.0233 (156d)
    qlib158_cntn20  2022 -0.1323 (22d) · 2023 -0.1535 (237d) · 2024 -0.1092 (243d) · 2025 -0.0723 (246d) · 2026 -0.0561 (156d)
    qlib158_cntn30  2022 -0.2257 (22d) · 2023 -0.1595 (237d) · 2024 -0.1027 (243d) · 2025 -0.0534 (246d) · 2026 -0.0788 (156d)
    qlib158_cntn60  2022 -0.2345 (22d) · 2023 -0.1388 (237d) · 2024 -0.0434 (243d) · 2025 -0.0656 (246d) · 2026 -0.0731 (156d)
    qlib158_cntp20  2022 -0.0276 (22d) · 2023 0.0532 (237d) · 2024 0.0831 (243d) · 2025 0.0621 (246d) · 2026 0.0333 (156d)
    qlib158_cntp30  2022 0.0512 (22d) · 2023 0.0677 (237d) · 2024 0.0680 (243d) · 2025 0.0526 (246d) · 2026 0.0461 (156d)
    qlib158_cord20  2022 0.1859 (22d) · 2023 0.0004 (237d) · 2024 0.1536 (243d) · 2025 0.0592 (246d) · 2026 0.0285 (156d)
    qlib158_imax20  2022 -0.1125 (22d) · 2023 0.1067 (237d) · 2024 0.0766 (243d) · 2025 0.0460 (246d) · 2026 -0.0065 (156d)
    qlib158_imax30  2022 -0.1301 (22d) · 2023 0.1282 (237d) · 2024 0.0861 (243d) · 2025 0.0521 (246d) · 2026 0.0101 (156d)
